id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,campello,Disturbios Civiles,¿Quién pierde con la marcha del Low Festival de Benidorm?,WEB www.informacion.es,48.494805,-121.042617,10UFU4460673148,Quién,Washington,Skagit County,glacier,nominatim,2025-11-08T10:37:31,2025-11-08T10:37:31
2,campello,Sin clasificar,"Noticias de Alicante El bajo del número 70 de la calle Virgen del Socorro no tiene reloj, pero en su interior se ha detenido el tiempo.",@AlicanteDirectoNews,63.898439,20.547574,34VDR7779085775,su interior se,,Västerbottens län,industrial,nominatim,2025-11-08T12:45:04,2025-11-08T12:45:04
3,campello,Sin clasificar,"Noticias de Alicante No se sentía bien consigo misma, se notaba hinchada y flácida.",@AlicanteDirectoNews,-34.622743,-58.522792,21HUB6040267737,Alicante No,Ciudad Autónoma de Buenos Aires,Buenos Aires,residential,nominatim,2025-11-08T12:45:04,2025-11-08T12:45:04
4,campello,Sin clasificar,"Noticias de Alicante La propuesta del presidente del Gobierno de la Región de Murcia, Fernando López Miras, de que el trasvase Júcar-Vinalopó pueda extenderse hacia las comarcas del Altiplano murciano, concretamente Jumilla y Yecla, ha generado cautela entre los regantes y organizaciones agrarias de Alicante.",@AlicanteDirectoNews,38.085258,-85.867609,16SEH9930715880,Alicante La,Kentucky,Jefferson County,residential,cache,2025-11-08T12:45:04,2025-11-08T12:45:04
5,campello,Sin clasificar,"Noticias de Alicante La provincia de Alicante vivirá este sábado en la que se esperan rachas de hasta 70 km/h en el interior, donde se ha activado el aviso amarillo por viento, y precipitaciones dispersas a primera hora que remitirán conforme avance la mañana. via Información - Alicante https://ift.tt/I4AfJap #AlicanteDirecto #Noticias #Alicante #Alacant #Fiestas #Eventos",@AlicanteDirectoNews,,,,AlicanteDirecto,,,,mensajes,2025-11-08T12:45:04,2025-11-08T12:45:04
6,campello,Sin clasificar,https://www.informacion.es/elche/2025/11/08/detenciones-sucesos-policia-nacional-fraude-pension-123484730.html?utm_campaign=mrf-facebook-diarioinformacionelche&fbclid=IwRlRTSAN75fVleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeEahJ5ojV31KyLgXKOf5RY-8m7JkoH_n3U8AgNv0LKz1_QWFwSrvZHKZceps_aem_cNdkJxmGiW5lp-zPaGnumw,@alicanteprensapolicianacional,,,,IwRlRTSAN75fVleHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeEahJ5ojV31KyLgXKOf5RY-8m7JkoH n3U8AgNv0LKz1 QWFwSrvZHKZceps aem cNdkJxmGiW5lp-zPaGnumw,,,,mensajes,2025-11-08T12:45:04,2025-11-08T12:45:04
7,campello,Sin clasificar,"José Santón y Ana Ballester, indumentaristas oficiales de Fogueres 2026 https://diariodealicante.net/jose-santon-y-ana-ballester-indumentaristas-oficiales-de-fogueres-2026/",@diarioAlicante,-22.695770,-47.309610,23KKQ6273588311,José Santón,São Paulo,Região Metropolitana de Campinas,unclassified,nominatim,2025-11-08T12:45:05,2025-11-08T12:45:05
8,campello,Sin clasificar,El Elche ve volar sobre la bocina dos puntos frente a la Real: 1-1 https://diariodealicante.net/el-elche-ve-volar-sobre-la-bocina-dos-puntos-frente-a-la-real-1-1/,@diarioAlicante,,,,Elche ve volar sobre la bocina dos puntos frente a la Real,,,,mensajes,2025-11-08T12:45:05,2025-11-08T12:45:05
9,campello,Sin clasificar,Detenida en Elche por desviar dinero de la cuenta de su expareja https://diariodealicante.net/detenida-en-elche-por-desviar-dinero-de-la-cuenta-de-su-expareja/,@diarioAlicante,,,,Elche por desviar dinero de la cuenta de su expareja https://diariodealicante,,,,mensajes,2025-11-08T12:45:05,2025-11-08T12:45:05
10,campello,Sin clasificar,La Generalitat avala a más de dos mil jóvenes de la Comunitat Valenciana para la compra de su primera vivienda https://diariodealicante.net/la-generalitat-avala-a-mas-de-dos-mil-jovenes-de-la-comunitat-valenciana-para-la-compra-de-su-primera-vivienda/,@diarioAlicante,41.382840,2.176742,31TDF3116481584,Generalitat,Catalunya,Barcelonès,government,cache,2025-11-08T12:58:07,2025-11-08T12:58:07
