id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,campello,Sin clasificar,DOSIER DE PRENSA (12 DE NOVIEMBRE) | Noticias del Ayuntamiento de Calp https://noticias.calp.es/es/noticia/dosier-de-prensa-12-de-noviembre-1 Ayuntamiento de Calp y Cofradía reclaman al Consell mejoras en las instalaciones del puerto La decisión sobre Mario Conde y Albert Rivera: Un ejemplo de diálogo y acuerdo Calp exige mejoras en su puerto pesquero y que se den facilidades para que la Cofrad...,WEB noticias.calp.es,,,,instalaciones del puerto La decisión sobre Mario Conde y Albert Rivera: Un ejemplo de diálogo y acuerdo Calp exige mejoras en su puerto pesquero y,,,,mensajes,2025-11-12T09:20:09,2025-11-12T09:20:09
2,campello,Sin clasificar,Una reunión entre Feijóo y Pérez Llorca allanó el camino para suceder a Mazón https://www.informacion.es/nacional/2025/11/12/reunion-feijoo-perez-llorca-allano-123622643.html Una reunión entre Feijóo y Pérez Llorca allanó el camino para suceder a Mazón El líder del PP señala al alcalde de Finestrat como candidato a 'president' tras diez días de inquietud por el pulso del PPCV a Génova para pilo...,WEB www.informacion.es,44.983071,16.247572,33TWK9835681826,Una,Federacija Bosne i Hercegovine,,river,cache,2025-11-12T10:55:02,2025-11-12T10:55:02
3,campello,Sin clasificar,Cómo conseguir hoy las entradas para ver gratis el entrenamiento de Messi en Elche https://www.informacion.es/deportes/2025/11/11/messi-gratis-elche-dv-loc-123595093.html Cómo conseguir hoy las entradas para ver gratis el entrenamiento de Messi en Elche La selección argentina se ejercitará este jueves en el estadio Martínez Valero Locura por Messi en Algorfa / Áxel Álvarez La presencia de Leo M...,WEB www.informacion.es,35.661543,139.698750,54SUE8221947189,Elche https://www,,渋谷区,theatre,nominatim,2025-11-12T10:55:03,2025-11-12T10:55:03
4,campello,Sin clasificar,"🧠 #Dénia, Ciutat del Pensament 💬 AULA LLUÍS VIVES 🔸 Demà dijous, 13 de novembre, la segona jornada: ""Turisme i comunitat local"" 🕕 De 18 a 20 h 📍 Baleària Port, L'Androna 🌐 PROGRAMA I INSCRIPCIONS: https://deniaciutatdelpensament.org/ca/aula-lluis-vives-jornada-2-turismo-y-comunidad-local Hi intervindran: 👤 Adolfo Utor, president de Baleària, amb una conferència sobre ""Confiança i lideratge empr...",@AjuntamentDeDenia,38.840838,0.106110,31SBD4882903094,Dénia,Comunitat Valenciana,,administrative,nominatim,2025-11-12T10:55:58,2025-11-12T10:55:58
5,campello,Sin clasificar,Noticias de Alicante Las infraestructuras se han convertido en un campo de batalla entre la administración central y la autonómica desde hace tiempo solo que ahora el foco lo pone la Conselleria de Agricultura.,@AlicanteDirectoNews,,,,un campo de batalla entre la administración central y la autonómica desde hace tiempo solo,,,,mensajes,2025-11-12T10:55:58,2025-11-12T10:55:58
6,campello,Sin clasificar,Dosier de prensa 🗞🗞El dosier de prensa de hoy viene cargado de noticias sobre Calp. Consúltalo aquí 👇 📅 12/11/2025 🌐 https://noticias.calp.es/es/noticia/dosier-de-prensa-12-de-noviembre-1 🔖 #Noticia,@AyuntamientodeCalp,60.399324,25.110255,35VLG9587697377,Noticia,Uusimaa,Helsingin seutukunta,company,cache,2025-11-12T10:55:59,2025-11-12T10:55:59
7,campello,Sin clasificar,Ligero ascenso de temperaturas y cielo despejado con brumas matinales en Alicante https://diariodealicante.net/ascenso-temperaturas-alicante/,@diarioAlicante,38.609596,-0.273310,30SYH3742076981,Alicante https://diariodealicante,Comunitat Valenciana,,art,cache,2025-11-12T10:55:59,2025-11-12T10:55:59
8,campello,Sin clasificar,Una avería deja sin luz a parte de El Campello durante la mañana https://diariodealicante.net/averia-luz-campello/,@diarioAlicante,44.983071,16.247572,33TWK9835681826,Una,Federacija Bosne i Hercegovine,,river,cache,2025-11-12T10:55:59,2025-11-12T10:55:59
9,campello,Sin clasificar,"💉 Jornadas de vacunación para mayores de 60 años 🗓️ 14 y 28 de noviembre 📍 Centro Social (Calderón, 4) 🕤 De 9.30 a 12 h 🦠 Gripe / COVID-19 ‼️ Traed la tarjeta SIP y documento de identificación (DNI, NIE, pasaporte). 🇬🇧🇫🇷🇩🇪👇👇👇",@AjuntamentDeDenia,38.840556,0.111481,31SBD4929403048,"Centro Social (Calderón, 4",Comunitat Valenciana,,community_centre,nominatim,2025-11-12T10:58:45,2025-11-12T10:58:45
10,campello,Sin clasificar,Orihuela licita las obras de adecuación del Centro Cívico de Desamparados https://diariodealicante.net/orihuela-licita-obras-adecuacion-centro-civico-desamparados/,@diarioAlicante,38.085689,-0.944881,30SXH8023317316,Orihuela,Comunitat Valenciana,el Baix Segura / La Vega Baja,administrative,cache,2025-11-12T11:06:46,2025-11-12T11:06:46
11,campello,Sin clasificar,"Noticias de Alicante La previsión de Aemet para este miércoles sigue en la provincia de Alicante siendo de estabilidad y sol, con pocas nubes y sin probabilidad de precipitaciones.",@AlicanteDirectoNews,,,,Alicante siendo de estabilidad y sol,,,,mensajes,2025-11-12T11:08:45,2025-11-12T11:08:45
12,campello,Sin clasificar,🏛️ ¿No pudiste ver el pleno municipal de ayer? Ya puedes volver a verlo completo a través de nuestro canal de YouTube 🎥 👉 Accede aquí: 📅 12/11/2025 🌐 https://www.youtube.com/watch?v=CQl3ZMzIZgQ 🔖 #Noticia,@AyuntamientodeCalp,60.399324,25.110255,35VLG9587697377,Noticia,Uusimaa,Helsingin seutukunta,company,cache,2025-11-12T11:12:45,2025-11-12T11:12:45
