id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,campello,Sin clasificar,"🎬 Cinefòrum i taller d'igualtat al Casal Jove de #Dénia Aquest novembre parlem d’igualtat, llibertat i respecte 💜 Els divendres del mes (7, 14 i 21 de novembre) tens una cita al Casal Jove amb un taller pensat per reflexionar, trencar tòpics i entendre millor com podem prevenir la violència de gènere.",@AjuntamentDeDenia,49.177736,-0.357514,30UXV9257950575,"Els divendres del mes (7, 14 i 21 de novembre",Normandie,Calvados,tertiary,nominatim,2025-11-14T10:06:44,2025-11-14T10:06:44
2,campello,Disturbios Civiles,Noticias de Alicante El plan que los juzgados de Marca Comunitaria de Alicante han puesto en marcha para resolver las peticiones de medidas cautelares en casos de piratería va a suponer que el año acabe con cerca de ochenta intervenciones a lo largo de este año.,@AlicanteDirectoNews,,,,marcha para resolver las peticiones de medidas cautelares en casos de piratería va a suponer,,,,mensajes,2025-11-14T10:06:44,2025-11-14T10:06:44
3,campello,Sin clasificar,Dosier de Prensa 📰📰El anuncio de dimisión como concejal de Juan Manuel del Pino centra el dosier de prensa de hoy. Consulta esta y otras noticias en el dosier de prensa. 📅 14/11/2025 🌐 https://noticias.calp.es/es/noticia/dosier-de-prensa-14-de-noviembre-1 🔖 #Noticia,@AyuntamientodeCalp,,,,dosier de prensa,,,,mensajes,2025-11-14T10:06:44,2025-11-14T10:06:44
4,campello,Sin clasificar,"DOSIER DE PRENSA (14 DE NOVIEMBRE) | Noticias del Ayuntamiento de Calp https://noticias.calp.es/es/noticia/dosier-de-prensa-14-de-noviembre-1 Dimite Juan Manuel del Pino, mano derecha de la alcaldesa de Calp Juan Manuel del Pino dimitirá cuando se aprueben los presupuestos de Calp La vida en el tripartito de Calp después de Juan Manuel El número dos de la alcaldesa de Calp, Juan Manuel del Pino...",WEB noticias.calp.es,,,,tripartito de Calp después de Juan Manuel El número dos de la alcaldesa de Calp,,,,mensajes,2025-11-14T10:07:20,2025-11-14T10:07:20
5,campello,Sin clasificar,Noticias de Alicante La Federació de Fogueres busca talento en Alicante.,@AlicanteDirectoNews,38.343637,-0.488171,30SYH1951546929,Alicante,Comunitat Valenciana,Alacant / Alicante,administrative,cache,2025-11-14T10:08:55,2025-11-14T10:08:55
6,campello,Sin clasificar,Un interno encadena dos episodios violentos en una semana en la prisión de Villena https://diariodealicante.net/interno-violento-villena-dos-episodios-semana/,@diarioAlicante,,,,una semana,,,,mensajes,2025-11-14T10:10:57,2025-11-14T10:10:57
7,campello,Sin clasificar,"‼️ Tancats Torrecremada, el Castell, placa de Jaume I i Bosc de Diana pel vent.",@AjuntamentDeDenia,,,,Tancats Torrecremada,,,,mensajes,2025-11-14T10:18:55,2025-11-14T10:18:55
8,campello,Sin clasificar,Adjudicadas las obras de reforma y ampliación del CEIP Manuel Torres https://diariodealicante.net/obras-ceip-manuel-torres/,@diarioAlicante,,,,Adjudicadas,,,,mensajes,2025-11-14T10:24:55,2025-11-14T10:24:55
9,campello,Sin clasificar,Rescatado un serval en un domicilio particular de Alicante https://diariodealicante.net/rescatado-serval-domicilio-particular-de-alicante/,@diarioAlicante,,,,un domicilio particular de Alicante https://diariodealicante,,,,mensajes,2025-11-14T10:34:55,2025-11-14T10:34:55
10,campello,Sin clasificar,"El Ayuntamiento de Calp aprueba su hoja de ruta para un turismo más inteligente, sostenible e inclusivo | Noticias del Ayuntamiento de Calp https://noticias.calp.es/es/noticia/el-ayuntamiento-de-calp-aprueba-su-hoja-de-ruta-para-un-turismo-m%C3%A1s-inteligente-sostenible-e El Ayuntamiento de Calp aprueba su hoja de ruta para un turismo más inteligente, sostenible e inclusivo El Pleno del Ayunta...",WEB noticias.calp.es,42.907433,-2.064592,30TWN7635850959,Ayuntamiento,Navarra - Nafarroa,Sakana,townhall,cache,2025-11-14T11:30:51,2025-11-14T11:30:51
11,campello,Sin clasificar,🌳 Reoberts els parcs i zones verdes.,@AjuntamentDeDenia,,,,Reoberts,,,,mensajes,2025-11-14T11:40:34,2025-11-14T11:40:34
12,campello,Sin clasificar,Noticias de Alicante Los cielos despejados se han despedidos de Alicante esta mañana; la bruma ha pasado a ser protagonista en la capital alicantina y muchos vecinos han amanecido sorprendidos por su densidad.,@AlicanteDirectoNews,,,,capital alicantina y muchos vecinos,,,,mensajes,2025-11-14T11:40:34,2025-11-14T11:40:34
13,campello,Sin clasificar,Noticias de Alicante El inicio de las obras de renovación de la calle San Francisco de Alicante está cada día más cerca tras años de peticiones de vecinos y comerciantes.,@AlicanteDirectoNews,,,,tras años de peticiones de vecinos y comerciantes,,,,mensajes,2025-11-14T11:40:34,2025-11-14T11:40:34
14,campello,Sin clasificar,Horario Biblioteca 📚 Horario Biblioteca Pública Municipal Joanot Martorell La Biblioteca Municipal abre sus puertas en el siguiente horario: 🗓️ De lunes a viernes ⏰ 09:00 h – 20:00 h 🗓️ Sábados ⏰ 09:30 h – 13:30 h 📅 14/11/2025 00:00 https://calpcomunica.calp.es/event/horario-biblioteca/?lang=es 🔖 #Cultura,@AyuntamientodeCalp,43.054273,2.512472,31TDH6029766957,siguiente horario: 🗓️ De lunes a viernes ⏰ 09:00 h – 20:00 h 🗓️ Sábados ⏰ 09:30 h – 13:30 h 📅 14/11/2025 00:00 https://calpcomunica,Occitanie,Aude,administrative,nominatim,2025-11-14T11:40:34,2025-11-14T11:40:34
15,campello,Sin clasificar,Alicante tendrá un fin de semana variable con lluvia débil el domingo https://diariodealicante.net/alicante-fin-semana-lluvia/,@diarioAlicante,38.343637,-0.488171,30SYH1951546929,Alicante,Comunitat Valenciana,Alacant / Alicante,administrative,cache,2025-11-14T11:40:35,2025-11-14T11:40:35
16,campello,Sin clasificar,"La Comunitat Valenciana encadena cinco meses de subidas y alcanza el 3,5% de inflación en octubre https://diariodealicante.net/valenciadiari-com-inflacion-comunitat-valenciana-datos-octubre/",@diarioAlicante,,,,octubre https://diariodealicante,,,,mensajes,2025-11-14T11:40:35,2025-11-14T11:40:35
17,campello,Sin clasificar,La Diputación de Alicante cierra un año expositivo destacado gracias al convenio cultural con la Generalitat https://diariodealicante.net/exposiciones-diputacion-alicante-balance/,@diarioAlicante,38.345813,-0.492433,30SYH1913647160,Diputación,Comunitat Valenciana,Alacant / Alicante,neighbourhood,cache,2025-11-14T11:40:35,2025-11-14T11:40:35
18,campello,Sin clasificar,"Mazón admite que la Generalitat no alertó sobre su única presa el 29-O, que se desbordó y causó al menos dos muertos https://www.informacion.es/comunidad-valenciana/2025/11/13/mazon-admite-generalitat-alerto-unica-presa-autonomica-desbordo-dana-123701481.html Mazón admite que la Generalitat no alertó sobre su única presa el 29-O, que se desbordó y causó al menos dos muertos La documentación ent...",WEB www.informacion.es,41.241422,-88.419510,16TCL8105266529,Mazón,Illinois,Grundy County,administrative,cache,2025-11-14T11:40:47,2025-11-14T11:40:47
19,campello,Sin clasificar,"El PP opta por la calma y sigue a la espera de las exigencias de Vox https://www.informacion.es/politica/2025/11/14/pp-opta-calma-sigue-espera-123711009.html El PP opta por la calma y sigue a la espera de las exigencias de Vox Tras acortar plazos en la investidura de Mazón para alejar su pacto con Vox de las generales, el PP dilata ahora el proceso con Pérez Llorca para evitar que declare ante...",WEB www.informacion.es,,,,investidura de Mazón para alejar su pacto con Vox de las generales,,,,mensajes,2025-11-14T11:40:47,2025-11-14T11:40:47
20,campello,Sin clasificar,"Así será la renovación de la “calle de las setas” de Alicante: duración, fecha y fases https://www.informacion.es/alicante/2025/11/14/alicante-obras-renovacion-calle-setas-san-francisco-123693603.html Así será la renovación de la “calle de las setas” de Alicante: duración, fecha y fases La empresa Nerco Infraestructuras apunta a ser la adjudicataria de unas obras que empezarán por el tramo más...",WEB www.informacion.es,51.208697,89.234375,45UXS5607275405,Así,,,continent,cache,2025-11-14T11:40:48,2025-11-14T11:40:48
21,campello,Sin clasificar,"Arturo Delgado, inspector de Hacienda local: 'Habría que derogar el párrafo de la ley que regula la tasa de basura' https://www.informacion.es/economia/2025/11/14/delgado-inspector-hacienda-derogar-ley-tasa-basura-123694693.html Arturo Delgado, inspector de Hacienda local: ""Habría que derogar el párrafo de la ley que regula la tasa de basura"" El presidente de la Asociación Nacional de Inspector...",WEB www.informacion.es,19.384343,-99.218038,14QMG7710443369,Arturo Delgado,Ciudad de México,Ciudad de México,living_street,nominatim,2025-11-14T11:40:49,2025-11-14T11:40:49
22,campello,Sin clasificar,Llega la primera edición del Riurau Dansa Film Festival a Jávea https://diariodealicante.net/riurau-dansa-film-festival-javea/,@diarioAlicante,22.386289,-79.946709,17QPE0842975964,Llega,Villa Clara,Ciudad de Santa Clara,neighbourhood,nominatim,2025-11-14T11:42:27,2025-11-14T11:42:27
23,campello,Sin clasificar,"🎓 Escola d'Associacions ✏️ PRÒXIM TALLER 👇🏻👇🏻👇🏻 🔜 Dissabte 22 de novembre, ""Incrementar la base social i la participació"" 📌 A la Casa de la Cultura, de 10 a 13.30 h.",@AjuntamentDeDenia,-11.692751,-40.172968,24LUN7216007155,Escola,Bahia,Região Geográfica Imediata de Feira de Santana,hamlet,nominatim,2025-11-14T11:45:26,2025-11-14T11:45:26
24,campello,Sin clasificar,El paseo de Muchavista acoge este domingo la caminata-carrera por el Día Mundial de la Diabetes https://diariodealicante.net/el-campello-caminata-dia-mundial-diabetes/,@diarioAlicante,38.396929,-0.406688,30SYH2647153041,Muchavista,Comunitat Valenciana,,tram_stop,nominatim,2025-11-14T11:45:27,2025-11-14T11:45:27
25,campello,Sin clasificar,Barcala recibe a las candidatas de la Fafba y afirma que 'representáis a unos barrios que construyen ciudad' https://diariodealicante.net/barcala-candidatas-fafba/,@diarioAlicante,42.927737,-8.789618,29TNH1716752811,Barcala,Galicia,A Barcala,administrative,cache,2025-11-14T11:57:44,2025-11-14T11:57:44
26,campello,Sin clasificar,Los alumnos de la UMH podrán hacer prácticas en À Punt los próximos cuatro años https://diariodealicante.net/alumnos-umh-practicas-apunt-proximos-cuatro-anos/,@diarioAlicante,46.176890,9.982400,32TNS7582614170,Punt,Lombardia,Sondrio,administrative,nominatim,2025-11-14T11:58:44,2025-11-14T11:58:44
27,campello,Sin clasificar,"🧠 Este lunes comienzan las III Jornadas de Protección de la Salud organizadas por el Ayuntamiento de Calp en la Sede Universitaria Casa Nova, un encuentro centrado este año en el lema “De la Salud Mental a la Salud Social”.",@AyuntamientodeCalp,,,,Sede Universitaria Casa Nova,,,,mensajes,2025-11-14T12:00:44,2025-11-14T12:00:44
28,campello,Sin clasificar,"Ja estem en marxa! 💉🦠 FIns a les 12 h, al Centre Social, jornada de vacunació per a majors de 60 anys (grip / COVID-19), a càrrec de personal de la 👩‍⚕️ Zona Bàsica de Salut de #Dénia.",@AjuntamentDeDenia,,,,marxa! 💉🦠 FIns a les 12 h,,,,mensajes,2025-11-14T12:01:43,2025-11-14T12:01:43
29,campello,Sin clasificar,"Noticias de Alicante Una intensa nube de polvo cubre parte de la ciudad de Alicante, especialmente en el litoral sur.",@AlicanteDirectoNews,18.520037,-69.917828,19QDA0312147968,litoral sur,Santo Domingo,Santo Domingo Norte,residential,nominatim,2025-11-14T12:08:44,2025-11-14T12:08:44
30,campello,Sin clasificar,Noticias de Alicante El tiempo sigue loco.,@AlicanteDirectoNews,38.343637,-0.488171,30SYH1951546929,Alicante El,Comunitat Valenciana,Alacant / Alicante,administrative,cache,2025-11-14T12:08:44,2025-11-14T12:08:44
31,campello,Sin clasificar,"Noticias de Alicante La cuenta de divulgación Proyecto Mastral ha publicado unas imágenes cedidas por la usuaria Agnieszka, que captó -como pudo- las proximidades del aeropuerto de Alicante - Elche Miguel Hernández desde cielo.",@AlicanteDirectoNews,38.085258,-85.867609,16SEH9930715880,Alicante La,Kentucky,Jefferson County,residential,cache,2025-11-14T12:08:44,2025-11-14T12:08:44
32,campello,Sin clasificar,El Conservatorio de Mutxamel impulsa la formación tecnológica con una nueva sala de Informática Musical https://diariodealicante.net/conservatorio-mutxamel-formacion-tecnologica/,@diarioAlicante,40.293249,-3.745767,30TVK3661460572,Conservatorio,Comunidad de Madrid,Getafe,station,nominatim,2025-11-14T12:19:44,2025-11-14T12:19:44
33,campello,Sin clasificar,"El Aeropuerto Miguel Hernández supera en octubre los 1,9 millones de viajeros, otro mes récord https://diariodealicante.net/aeropuerto-miguel-hernandez-octubre/",@diarioAlicante,-12.011661,-77.087529,18LTM7271771294,octubre los 1,Lima,Lima,house,nominatim,2025-11-14T12:26:44,2025-11-14T12:26:44
34,campello,Sin clasificar,La jueza deja en libertad tras casi un mes en prisión a los detenidos por la agresión junto a una discoteca de Alicante https://www.informacion.es/sucesos/sucesos-en-alicante/2025/11/14/jueza-deja-libertad-orden-alejamiento-detenidos-agresion-discoteca-alicante-123719977.html La jueza deja en libertad tras casi un mes en prisión a los detenidos por la agresión junto a una discoteca de Alicante...,WEB www.informacion.es,35.661543,139.698750,54SUE8221947189,libertad tras casi un mes en prisión a los detenidos por la agresión junto a una discoteca de Alicante https://www,,渋谷区,theatre,nominatim,2025-11-14T15:26:55,2025-11-14T15:26:55
35,campello,Sin clasificar,"El asesor de Pradas confirma que una ausencia de la consellera y Argüeso del Cecopi se debía a 'un tema de Presidencia' de la Generalitat https://www.informacion.es/politica/2025/11/14/asesor-salome-pradas-es-alert-cecopi-dana-valencia-123713458.html El asesor de Pradas confirma que una ausencia de la consellera y Argüeso del Cecopi se debía a ""un tema de Presidencia"" de la Generalitat Asegura...",WEB www.informacion.es,43.613200,1.973370,31TDJ1715729425,Pradas,Occitanie,Tarn,administrative,nominatim,2025-11-14T15:26:55,2025-11-14T15:26:55
36,campello,Sin clasificar,"El juez procesa a Errejón por la presunta agresión sexual a la actriz Elisa Mouliaá, cuyo testimonio ve 'coherente en lo esencial' https://www.informacion.es/nacional/2025/11/14/juez-procesa-inigo-errejon-presunta-agresion-sexual-mouliaa-testimonio-coherente-123716273.html El juez procesa a Errejón por la presunta agresión sexual a la actriz Elisa Mouliaá, cuyo testimonio ve ""coherente en lo es...",WEB www.informacion.es,35.661543,139.698750,54SUE8221947189,lo esencial' https://www,,渋谷区,theatre,nominatim,2025-11-14T15:26:56,2025-11-14T15:26:56
37,campello,Sin clasificar,"🩰 Cap de setmana d'Ultramar Dansa! 🫂 Hui divendres, 14 de novembre, la companyia valenciana Fil d’Arena representa ""Cos a cos"", una proposta multidisciplinar que combina dansa, teatre i circ.",@AjuntamentDeDenia,48.862890,2.288981,31UDQ4785112457,Cap,Île-de-France,Paris,museum,nominatim,2025-11-14T17:50:44,2025-11-14T17:50:44
38,campello,Sin clasificar,Noticias de Alicante Las sombras volverán a la avenida de la Constitución tres años después de la polémica salida de las melias.,@AlicanteDirectoNews,-33.421450,-70.582245,19HCD5289200870,Alicante Las,Región Metropolitana de Santiago,Provincia de Santiago,residential,nominatim,2025-11-14T17:50:44,2025-11-14T17:50:44
39,campello,Sin clasificar,Noticias de Alicante El Diario Oficial de la Generalitat Valenciana (DOGV) ha publicado este viernes la relación de fiestas locales de todos los municipios de la Comunidad Valenciana.,@AlicanteDirectoNews,,,,Noticias de Alicante El Diario Oficial de la Generalitat Valenciana (DOGV,,,,mensajes,2025-11-14T17:50:44,2025-11-14T17:50:44
40,campello,Sin clasificar,"Noticias de Alicante La vida poco saludable está detrás de que se haya adelantado la edad en que debuta la diabetes tipo 2, que hace su aparición cada vez más a menudo en personas de 30 años pese a ser más propia de edades avanzadas, con casos en niños y adolescentes.",@AlicanteDirectoNews,38.085258,-85.867609,16SEH9930715880,Alicante La,Kentucky,Jefferson County,residential,cache,2025-11-14T17:50:44,2025-11-14T17:50:44
41,campello,Sin clasificar,Noticias de Alicante La Autoridad Portuaria y la Policía Portuaria han comenzado a intervenir sobre los tuctucs en un contexto de descontrol en la ciudad.,@AlicanteDirectoNews,,,,un contexto de descontrol en la,,,,mensajes,2025-11-14T17:50:44,2025-11-14T17:50:44
