fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente
2025-12-01,07:03:53,Campello,Otros,Noticias | Noticias del Ayuntamiento de Calp Calp modifica la ordenanza municipal para aumentar las sanciones por vertidos Esta mañana la Junta de Gobierno del Ayuntamiento de Calp ha acordado modificar la Ordenanza Municipal de Protección de Medio Ambiente Urbano con el objetivo de incrementar las sanciones por vertidos que pueden llegar a 3000€.,,,,WEB https://noticias.calp.es/es
2025-12-01,07:03:54,Campello,Criminalidad,Noticias de Sucesos y Tribunales en INFORMACIÓN Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina El asesino de Miriam Vallejo sigue libre y el falso culpable reclama 127.000 euros de indemnización Mueren dos jóvenes de 17 y 21 años al chocar su coche contra un muro en Granada Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Amigos de las d...,,,,WEB https://www.informacion.es/sucesos/
2025-12-01,07:03:54,Campello,Otros,Última Hora de Elche | Noticias y Sucesos de Elche en INFORMACION La Unión Europea estudia otorgar a la palma blanca de Elche el indicativo geográfico La Navidad se enciende en Elche entre coronas reales Aceituneros por un mes: La UMH se suma a la campaña de oliva y recoge 5.000 kilos en el campus de Elche ¿Semana Santa a las puertas de la Navidad en Elche?,,,,WEB https://www.informacion.es/elche/
2025-12-01,07:03:54,Campello,Criminalidad,Sucesos locales | Noticias de Sucesos locales - Información Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Detenido en Elda por estafar a extranjeros en situación irregular a los que ofrecía trabajo sin pagarles El CGPJ zanja el conflicto judicial en Alicante por los casos de violaciones a...,,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
2025-12-01,07:03:55,Campello,Otros,"El Campello El Campello no para de crecer en habitantes (y la cifra de extranjeros es significativa) El PP de El Campello, tras la sentencia que exculpa a la exedil de Podemos: ""¿Quién le va a pedir perdón?"" Comunicado del PP de El Campello: ""El uso perverso de las denuncias infundadas como arma política"" Una exedil de Podemos de El Campello, absuelta de favorecer a su suegro durante la tramitación del Pativel ¿Qué cuesta comprar un hotel en Alicante?",,,,WEB https://www.informacion.es/alacanti/el-campello/
2025-12-01,07:04:03,Campello,Otros,Ayuntamiento de El Campello El prestigioso sociólogo Erick Pescador Albiach cierra la programación del 25N en El Campello con una charla en sobre masculinidades igualitarias “Alisau” celebra en El Campello su mercado navideño solidario para financiar proyectos de apoyo a personas afectadas por trastornos el espectro autista Más de un cuarto de la población de El Campello es ya de origen extranjero La exposición de fotografía y pintura de Sol Spinelli y Pedro Coiro ya puede visitarse en la Casa de Cultura de El Campello hasta el 18 de enero 450 alumnos y alumnas del colegio público Pla Barra...,,,,WEB https://www.elcampello.es/index.php?s=noticias
2025-12-01,07:04:03,Campello,Otros,"▷ Noticias El Campello | elperiodic.com El Cocodrilo Familifestival vuelve a la provincia de Alicante con música, talleres y diversión familiar del 28 al 30 de noviembre Hallan un zapato de 2.300 años en perfecto estado de conservación en un pueblo de Alicante Llega la noche de Halloween a El Campello con Street Food Market y mercado de diseño vintage Premian con el 'Gallardete Azul' a 35 escuelas de vela valencianas El poniente y el calor se llevarán por delante el levante: temperaturas de verano a las puertas de noviembre en la Comunitat Valenciana Estos son los municipios que mejor recic...",,,,WEB https://www.elperiodic.com/elcampello
2025-12-01,07:04:04,Campello,Otros,"DIRECTO | Últimas noticias de Alicante hoy DIRECTO | Últimas noticias de Alicante hoy Sigue toda la actualidad de la provincia con INFORMACIÓN DIRECTO | Últimas noticias de la provincia de Alicante / INFORMACIÓN Mantente informado de todas las noticias de la provincia de Alicante , en directo.",,,,WEB https://www.informacion.es/alicante/2025/09/15/directo-ultimas-noticias-alicante-65627520.html
2025-12-01,07:04:05,Campello,Otros,"Última Hora y actualidad Comunidad Valenciana - Levante-EMV Salomé Pradas: ""Mi mayor error es no haberle dicho a Mazón que viniera.",,,,WEB https://www.levante-emv.com/comunitat-valenciana/
2025-12-01,07:04:07,Campello,Otros,"Avisos meteorológicos - Agencia Estatal de Meteorología - AEMET. Gobierno de España Este sitio web utiliza cookies propias y de terceros para mejorar la experiencia de navegación, y ofrecer contenidos y funcionalidades de interés.",,,,WEB https://www.aemet.es/es/eltiempo/prediccion/avisos?w=1&area=cva
