fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente
2025-11-26,08:16:37,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:22:00,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:27:05,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:32:56,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:37:59,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:43:58,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,08:56:11,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,09:02:17,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,09:07:59,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,09:13:01,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,09:17:58,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
2025-11-26,09:23:02,Colombia,Otros,"Noticias Principales de Colombia y el Mundo - El Tiempo ¡Hola !, Tu correo ha sido verficado.",,,,WEB https://www.eltiempo.com/
