id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,gaza,Sin clasificar,"Un profesor universitario que demandaba a la Universidad de Kentucky después de haber sido prohibido por sus opiniones sobre la ocupación israelí (https://www.alquds.com/ar/posts/208365), se registró con nosotros y publicó sus artículos en el Foro Al-Quds del sábado 15 de noviembre de 2025 a las 8.00 horas (hora de Jerusalén): un profesor universitario que demandaba a la Universidad de Kentucky...",WEB www.alquds.com,,,,Foro Al-Quds del sábado 15 de noviembre de 2025 a las 8,,,,mensajes,2025-11-15T08:08:46,2025-11-15T08:08:46
2,gaza,Sin clasificar,"El viernes, el Ministerio de Relaciones Exteriores de Palestina expresó su profundo agradecimiento por las posiciones iniciales de los dirigentes, el Gobierno y el pueblo de Sudáfrica en apoyo del pueblo palestino y de su causa, incluida la recepción de varios palestinos en la Franja de Gaza a la que se había hecho referencia.",WEB www.alquds.com,,,,apoyo del pueblo palestino y de su causa,,,,mensajes,2025-11-15T08:08:47,2025-11-15T08:08:47
3,gaza,Sin clasificar,"El sábado, el portavoz de la defensa civil de la Franja de Gaza lanzó un llamamiento urgente para que se prestara socorro a la crisis de viviendas asfixiantes de los desplazados internos en la Franja de Gaza.",WEB www.alquds.com,31.443223,34.360007,36RXV2923579524,Franja de Gaza,قطاع غزة,,administrative,cache,2025-11-15T08:29:29,2025-11-15T08:29:29
4,gaza,Sin clasificar,"En una declaración conjunta de los nueve Estados sobre la cesación del fuego, los Estados Unidos, junto con Qatar, Egipto, la Arabia Saudita, Indonesia, Jordania, el Pakistán y Turquía, reafirmaron su apoyo al proyecto de resolución presentado por Washington al Consejo de Seguridad sobre Gaza, considerando que constituía el marco internacional más importante para la aplicación del “Plan general...",WEB www.alquds.com,,,,una declaración conjunta de los nueve Estados sobre la cesación del fuego,,,,mensajes,2025-11-15T08:38:44,2025-11-15T08:38:44
5,gaza,Sin clasificar,Los detalles y las respuestas del viaje misterioso de Gaza a Johannesburgo (https://www.alquds.com/ar/posts/20833).,WEB www.alquds.com,-34.996496,-64.967282,20HLG2046225577,detalles y las respuestas del viaje misterioso de Gaza a Johannesburgo (https://www.alquds.com/ar/posts/20833,,,administrative,nominatim,2025-11-15T08:58:42,2025-11-15T08:58:42
6,gaza,Sin clasificar,"El cementerio de los príncipes y los mártires de Al-Aqsa (https://www.alquds.com/ar/posts/208382) fue grabado con nosotros y publicado en el Foro Al-Quds, 15 de noviembre de 2025, 8.44 horas (hora de Al-Quds, cementerio de Al-Khishid).",WEB www.alquds.com,,,,Foro Al-Quds,,,,mensajes,2025-11-15T08:58:42,2025-11-15T08:58:42
7,gaza,Sin clasificar,"Decenas de tiendas de campaña se hundieron en Mawasi Khan Younis con agua de lluvia, https://www.alquds.com/ar/posts/208390.",WEB www.alquds.com,,,,Mawasi Khan Younis con agua de lluvia,,,,mensajes,2025-11-15T09:25:14,2025-11-15T09:25:14
8,gaza,Disturbios Civiles,• Ministerio de Defensa de la Federación de Rusia: nuestras defensas aéreas lanzaron 64 marchas ucranianas sobre varias provincias durante la noche anterior,@AjaNews,-30.985657,-57.919440,21JVF1220971624,Federación,,Distrito Gualeguaycito,administrative,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
9,gaza,Sin clasificar,"• Reconocimiento de conocimientos: el 67% de los israelíes apoyan la creación de una comisión de investigación oficial de los acontecimientos del 7 de octubre, nombrada por el Presidente del Tribunal Supremo",@AjaNews,18.877804,-97.109745,14QPF9912288369,Reconocimiento,Veracruz,,memorial,nominatim,2025-11-15T09:41:50,2025-11-15T09:41:50
10,gaza,Sin clasificar,• Defensa civil en Gaza: nuestros grupos se ocupan de decenas de tiendas de campaña de desplazados que se hunden en varias zonas de Mawasi Khan Younis,@AjaNews,,,,Gaza: nuestros grupos se ocupan de decenas de tiendas de campaña de desplazados,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
11,gaza,Conflicto Armado,Fuerza Aérea de Ucrania: Lanzamos dos misiles balísticos y 91 marchas rusas contra zonas del este y el sur del país,@AjaNews,,,,Fuerza Aérea de Ucrania,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
12,gaza,Sin clasificar,"Trump: Espero que Arabia Saudita se adhiera a los acuerdos de Abraham, y estudiaré la posibilidad de venderles aviones F-35 durante la visita del Príncipe Heredero de Arabia Saudita a Washington la próxima semana.",@Almustashaar,39.682326,-76.602191,18SUJ6260293726,Trump,Maryland,Baltimore County,hamlet,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
13,gaza,Sin clasificar,La semana que viene el Consejo de Seguridad votará sobre el plan de Trump para Gaza en https://t.me/Almustashar,@Almustashaar,59.260501,15.185821,33VWF1059569074,https://t,,Örebro län,restaurant,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
14,gaza,Sin clasificar,"El Golán está hablando de una nueva Siria, mientras que su Ministerio de Cultura invita al público a una celebración nacional en la que se glorifica la masacre del 7 de octubre, la mayor masacre de judíos desde el Holocausto, que se celebra bajo el nombre de ""El Diluvio del Extremo"", todos los que celebran una masacre buscan más masacres, no más cambios.",@Almustashaar,38.981699,39.890324,37SED7711515122,Golán,Doğu Anadolu Bölgesi,,village,nominatim,2025-11-15T09:41:50,2025-11-15T09:41:50
15,gaza,Sin clasificar,- Buenos días y bendiciones para Gaza y sus habitantes.,@GazaNewsNow,-34.616123,-58.435621,21HUB6838368589,Buenos,Ciudad Autónoma de Buenos Aires,,administrative,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
16,gaza,Sin clasificar,"Las fuerzas de ocupación detuvieron a varios jóvenes, entre ellos prisioneros de libertad, que fueron secuestrados durante la incursión en el barrio de Kafr Saba, en la ciudad de Qalqilya, a saber: Mahmud Liba (Abu Isa), Samah Abu Ali, Noman Abu Libdeh, Mohammed Abu Halima, Hassan Shabita y Said Shabita.",@GazaNewsNow,,,,barrio de Kafr Saba,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
17,gaza,Sin clasificar,"Las fuerzas de ocupación detienen a varios jóvenes, entre ellos prisioneros de libertad, que se encuentran durante la incursión en el barrio de Kafr Saba, en la ciudad de Qalqilya.",@GazaNewsNow,,,,barrio de Kafr Saba,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
18,gaza,Sin clasificar,"Seguimiento del portavoz de la defensa civil en Gaza: Nuestro grupo se ocupa ahora de decenas de tiendas de campaña en los campamentos de desplazados internos, que han sido ahogadas en varias zonas de Mawasi Khanis.",@GazaNewsNow,,,,Gaza: Nuestro grupo se ocupa ahora de decenas de tiendas de campaña,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
19,gaza,Hazards,"La defensa civil no puede hacer frente a los casos de ahogamiento por falta de equipo después de la destrucción de la ocupación, los servicios municipales son rudimentarios y no satisfacen las necesidades de la población. El actual bajo nivel es sólo el comienzo de un invierno duro que puede ser más trágico, con el riesgo de que las viviendas se hundan a causa de las inundaciones y las lluvias.",@GazaNewsNow,,,,,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
20,gaza,Sin clasificar,"La investigación de 262 sospechosos de corrupción en los que participaron personalidades destacadas y dirigentes de instituciones y autoridades locales, incluido el presidente del sindicato Histadrut Arnon Bar David",@GazaNewsNow,,,,Histadrut Arnon Bar David,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
21,gaza,Sin clasificar,# Video # Las tiendas de los desplazados se hundieron a causa de las lluvias y las duras condiciones en que vivían los habitantes del sector con la primera baja del aire,@GazaNewsNow,-4.713918,-40.075643,24MUV8070378866,Video,Ceará,Região Geográfica Imediata de Sobral,village,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
22,gaza,Sin clasificar,• El Presidente palestino Mahmoud Abbas cumple hoy 90 años,@GazaNewsNow,30.774351,31.012357,36RUV0978306283,Mahmoud Abbas,الغربية,طنطا,residential,nominatim,2025-11-15T09:41:50,2025-11-15T09:41:50
23,gaza,Sin clasificar,Defensa Civil de Gaza: miles de tiendas de campaña sufrieron daños y no tenemos equipo para hacer frente a los ahogamientos.,@GazaNewsNow,,,,Defensa Civil de Gaza,,,,mensajes,2025-11-15T09:41:50,2025-11-15T09:41:50
24,gaza,Sin clasificar,# Vídeo # Una tragedia compleja con lluvia y miseria en las tiendas de campaña #,@GazaNewsNow,9.953696,-84.048123,16PHS2369301735,tiendas de campaña #,,Goicoechea,outdoor,cache,2025-11-15T09:41:50,2025-11-15T09:41:50
