fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente
2025-11-19,16:48:01,Gaza,Otros,"• Corresponsal de la isla: incursiones israelíes detrás de la línea amarilla en las ciudades de Rafah y Khan Younis, al sur de la Franja de Gaza",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Terrorismo,- El gobernador de la provincia ucraniana de Khirson: dos muertos y varios heridos en un bombardeo ruso en la provincia,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,• Ministerio de Defensa de la Federación de Rusia: nuestras defensas aéreas destruyen cuatro misiles Atakmaz de fabricación estadounidense sobre la provincia de Voronij,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,"La Autoridad de Radiodifusión de Israel sobre el Ministro de Energía Cohen: Si el precio de la normalización es crear un Estado palestino que amenace nuestra seguridad, lo abandonaré.",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Terrorismo,• Gobernador de Kharkev (Ucrania): 30 civiles resultaron heridos en un bombardeo ruso contra la provincia,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,∙ Medios de comunicación polacos: las autoridades polacas dejaron de operar en dos aeropuertos tras un ataque ruso contra las zonas vecinas de Ucrania,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Terrorismo,– Gobernador de Zaburujia de Ucrania: más de 600 bombardeos rusos contra aldeas e infraestructuras de la provincia en las últimas horas,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,"Urgente } Sana: fuerzas israelíes que se adentran en la localidad de Breja, en la zona rural de Quneitra",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Hazards,":: Ministerio de Salud del Líbano: Shahid y 11 heridos en una incursión israelí en la localidad de Tairi, al sur del país",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Terrorismo,":: El complejo médico de Nasser en Gaza: una mujer y su hijo resultaron heridos en el bombardeo de una marcha israelí detrás de la línea amarilla en la localidad de Beni Suhila, al este de Khan Younis",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,:: Funcionarios ucranianos: un ataque ruso en la provincia de Lviv con cohetes y desfiles a consecuencia de los cuales una central eléctrica resultó herida,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,AFB del Ministerio de Defensa de Rumania: Enviamos cazas para vigilar el espacio aéreo después de la incursión de un avión teledirigido.,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,Comandante de las Fuerzas Democráticas Sirias: No somos una amenaza para nadie y para nuestra administración bajo la égida del Estado sirio,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,Comandante de las Fuerzas Democráticas Sirias: Pedimos a la comunidad internacional que dé a Siria una oportunidad de reconstrucción.,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,"Comandante de las Fuerzas Democráticas Sirias, esperamos terminar de aplicar todas las disposiciones del acuerdo de 10 de marzo con el Gobierno para fines de este año.",,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,El Presidente de Ucrania: 9 muertos en un ataque de las fuerzas rusas,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,El Presidente de Ucrania: Rusia llevó a cabo un ataque con más de 470 pasos y 48 cohetes anoche,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,• Ministerio de Defensa de la Federación de Rusia: destrucción de 11 marchas de Ucrania sobre las zonas de Riazán y Tambov esta mañana,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,:: Federación de Comités de Cazadores de Gaza: las fuerzas de ocupación arrestan a tres pescadores cerca del puerto de Gaza y los llevan a un destino desconocido,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,Pronto Ben Gfier: Esperamos aprobar la ley de ejecución de los saboteadores antes de ir a las elecciones generales.,,,,@AjaNews
2025-11-19,16:48:01,Gaza,Otros,} Corresponsal de  expulsión del representante del Colegio de Médicos de Israel de la reunión del Comité de Seguridad Nacional del Knesset sobre la pena de muerte,,,,@AjaNews
