id,pais,categoria,descripcion,fuente,lat,lon,mgrs,place,admin1,admin2,accuracy,geocode_source,created_at,updated_at
1,haiti,Sin clasificar,En la COP30 - Rezo Nòdwès https://renononododwes.com/?p=369125 L,WEB rezonodwes.com,,,,COP30 - Rezo Nòdwès https://renononododwes,,,,mensajes,2025-11-12T14:50:07,2025-11-12T14:50:07
2,haiti,Sin clasificar,Haití - elecciones: Reunión importante de los actores que participan en el proceso electoral https://www.haitilibre.com/article-46190-haiti-elections-importante-reunión-de los actores- implica-en-el-proceso-electoral.html,@HaitiNewsExpress,35.661543,139.698750,54SUE8221947189,proceso electoral https://www,,渋谷区,theatre,cache,2025-11-12T14:55:26,2025-11-12T14:55:26
3,haiti,Disturbios Civiles,iciHaïti - Diaspora Washington : Marché de Noël créatif d'Haïti https://www.icihaiti.com/article-46191-icihaiti-diaspora-washington-marche-de-noel-creatif-d-haiti.html,@HaitiNewsExpress,19.139995,-72.357097,18QYG7800918421,Haïti,,,administrative,cache,2025-11-12T14:55:26,2025-11-12T14:55:26
4,haiti,Sin clasificar,Haití - Elecciones: importante reunión de las partes interesadas en el proceso electoral https://www.haitilibre.com/en/news-46190-haiti-elections-important-meeting-of-partners-involved-in-the-electoral-process.html,@HaitiLibre,35.661543,139.698750,54SUE8221947189,proceso electoral https://www,,渋谷区,theatre,cache,2025-11-12T15:02:24,2025-11-12T15:02:24
5,haiti,Sin clasificar,iciHaiti - Diáspora Washington : El Mercado Creativo de Navidad de Haití https://www.icihaiti.com/en/news-46191-icihaiti-diaspora-washington-haiti-s-creative-christmas-market.html,@HaitiLibre,19.139995,-72.357097,18QYG7800918421,Haiti,,,administrative,cache,2025-11-12T15:03:24,2025-11-12T15:03:24
6,haiti,Sin clasificar,Haití - Tecnología: Graduación de 71 analistas en las profesiones de la informática https://www.haitilibre.com/article-46192-haiti-technologie-graduation-de-71-analistas-en-les-metiers-de-l-informática.html,@HaitiNewsExpress,35.661543,139.698750,54SUE8221947189,profesiones de la informática https://www,,渋谷区,theatre,cache,2025-11-12T15:03:24,2025-11-12T15:03:24
7,haiti,Sin clasificar,Haiti - Technology : 71 IT Analysts Graduate https://www.haitilibre.com/en/news-46192-haiti-technology-71-it-analysts-graduate.html,@HaitiLibre,19.139995,-72.357097,18QYG7800918421,Haiti,,,administrative,cache,2025-11-12T15:05:24,2025-11-12T15:05:24
8,haiti,Sin clasificar,aquíHaití - Seguridad: Clausura de la primera semana de formación de los bomberos del SIMPAP https://www.icihaiti.com/article-46193-icihaiti-securice-cloture-de-la-primera-semana-de-formation-de-sapeurs-bombiersdu-simpap.html,@HaitiNewsExpress,19.139995,-72.357097,18QYG7800918421,Haití,,,administrative,cache,2025-11-12T15:14:24,2025-11-12T15:14:24
9,haiti,Sin clasificar,iciHaIti - Seguridad : Cierre de la primera semana de formación para bomberos de SIMPAP https://www.icihaiti.com/en/news-46193-icihaiti-seguridad-cierre de la primera semana de formación para bomberos de Simpap.html,@HaitiLibre,19.139995,-72.357097,18QYG7800918421,HaIti,,,administrative,cache,2025-11-12T15:18:24,2025-11-12T15:18:24
10,haiti,Sin clasificar,"El Salón del Libro Haitiano vuelve a París los días 29 y 30 de noviembre de 2025 - Rezo Nòdwès https://renononodwes.com/?p=369127 El Salón del Libro haitiano vuelve a París los días 29 y 30 de noviembre de 2025 El Salón del Libro haitiano firma su gran regreso a París para su 12a edición, los sábados 29 y domingo 30 de noviembre de 2025, a la Al Ayuntamiento del distrito 15 (31 rue Péclet, 75015).",WEB rezonodwes.com,,,,Salón del Libro Haitiano vuelve a París los días 29 y 30 de noviembre de 2025,,,,mensajes,2025-11-12T15:30:05,2025-11-12T15:30:05
