fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente
2025-11-15,11:44:39,Haiti,Otros,"République Dominicaine - Actualités, Vidéos et Informations - Juno7
https://www.juno7.ht/republique-dominicaine/

Un citoyen a rendu un sac contenant 16 000 euros
Allemagne : un véhicule fonce dans la foule à Münster, plusieurs morts et de nombreux blessés
Angela Merkel officiellement réélue chancelière pour un 4e mandat
Allemagne: vers un 4e mandat pour Angela Merkel
Québec suspend les nouvelles demandes de réunification familiale jusqu’en 2026
Mark Carney présente son cabinet et nomme Anita Anand ministre des Affaires étrangères
Canada : 9 morts et plusieurs blessés lors d’un festival à Vancouver
Mark Carney remporte les élections pour remplacer Justin Trudeau comme Premier ministre du Canada
Fusillade à Toronto : douze blessés dans un bar de Scarborough
Immigration : Trump veut refuser des visas aux personnes en surpoids ou souffrant de maladies chroniques
Âgé de 34 ans, Zohran Mamdani élu premier maire musulman de New York
États-Unis : un adolescent de 13 ans arrêté après avoir demandé à ChatGPT comment tuer son camarade de classe
La Floride autorise désormais le port d’arme visible en public
Marié et père de 3 enfants, un américain simule sa noyade pour rejoindre une femme en Géorgie rencontrée sur internet
Une première historique : Nicolas Sarkozy, premier ex-président de la Ve République incarcéré
Emmanuel Macron reconduit Sébastien Lecornu comme Premier ministre malgré la crise politique
Sébastien Lecornu démissionne moins de 24 heures après la publication du nouveau gouvernement
Sébastien Lecornu nommé Premier ministre pour apaiser la crise
Mouvement « Bloquons tout » : la France se prépare à une mobilisation d’ampleur le 10 septembre
Le Canada envoie 3 nouveaux véhicules blindés en Haïti, un total de 8 livrés sur les 18 commandés
L’heure nationale reculera de 60 minutes le dimanche 1er novembre informe la présidence
Covid-19: le consulat d’Haïti en Guadeloupe annonce un vol spécial au profit des ressortissants haïtiens
Les États-Unis appellent le gouvernement haïtien à cesser la publication de décrets
L’Exécutif haïtien adresse ses sympathies au peuple taïwanais
Mouss",,,,WEB www.juno7.ht
2025-11-15,11:44:40,Haiti,Otros,"Politique - Actualités, Vidéos et Informations - Juno7
https://www.juno7.ht/politique/

Un citoyen a rendu un sac contenant 16 000 euros
Allemagne : un véhicule fonce dans la foule à Münster, plusieurs morts et de nombreux blessés
Angela Merkel officiellement réélue chancelière pour un 4e mandat
Allemagne: vers un 4e mandat pour Angela Merkel
Québec suspend les nouvelles demandes de réunification familiale jusqu’en 2026
Mark Carney présente son cabinet et nomme Anita Anand ministre des Affaires étrangères
Canada : 9 morts et plusieurs blessés lors d’un festival à Vancouver
Mark Carney remporte les élections pour remplacer Justin Trudeau comme Premier ministre du Canada
Fusillade à Toronto : douze blessés dans un bar de Scarborough
Immigration : Trump veut refuser des visas aux personnes en surpoids ou souffrant de maladies chroniques
Âgé de 34 ans, Zohran Mamdani élu premier maire musulman de New York
États-Unis : un adolescent de 13 ans arrêté après avoir demandé à ChatGPT comment tuer son camarade de classe
La Floride autorise désormais le port d’arme visible en public
Marié et père de 3 enfants, un américain simule sa noyade pour rejoindre une femme en Géorgie rencontrée sur internet
Une première historique : Nicolas Sarkozy, premier ex-président de la Ve République incarcéré
Emmanuel Macron reconduit Sébastien Lecornu comme Premier ministre malgré la crise politique
Sébastien Lecornu démissionne moins de 24 heures après la publication du nouveau gouvernement
Sébastien Lecornu nommé Premier ministre pour apaiser la crise
Mouvement « Bloquons tout » : la France se prépare à une mobilisation d’ampleur le 10 septembre
Le Canada envoie 3 nouveaux véhicules blindés en Haïti, un total de 8 livrés sur les 18 commandés
L’heure nationale reculera de 60 minutes le dimanche 1er novembre informe la présidence
Covid-19: le consulat d’Haïti en Guadeloupe annonce un vol spécial au profit des ressortissants haïtiens
Les États-Unis appellent le gouvernement haïtien à cesser la publication de décrets
L’Exécutif haïtien adresse ses sympathies au peuple taïwanais
Mouss",,,,WEB www.juno7.ht
2025-11-15,12:58:46,Haiti,Otros,"📰 Haiti - FLASH : Terrorists killed and wounded, weapons and ammunition seized, PNH helicopter set on fire
https://www.haitilibre.com/en/news-46211-haiti-flash-terrorists-killed-and-wounded-weapons-and-ammunition-seized-pnh-helicopter-set-on-fire.html",,,,@HaitiLibre
2025-11-15,12:58:46,Haiti,Otros,"Haïti - FLASH, Terroristes tués et blessés, saisie d'armes et de munitions, un hélicoptère de la PNH incendié
https://www.haitilibre.com/article-46211-haiti-flash-terroristes-tues-et-blesses-saisie-d-armes-et-de-munitions-un-helicoptere-de-la-pnh-incendie.html",,,,@HaitiNewsExpress
2025-11-15,13:14:38,Haiti,Otros,Si chak zone bandi yo pran yo ta gen yon apaid monchè ooooh,,,,@soidensinfoplus
2025-11-15,14:19:48,Haiti,Otros,Sa nou wè la poko anyen😂😂😂😂🚔🚨🚔,,,,@soidensinfoplus
2025-11-15,14:46:13,Haiti,Otros,"La République dominicaine franchit un nouveau cap touristique avec 9,2 millions de visiteurs en 10 mois - Rezo Nòdwès
https://rezonodwes.com/?p=369264

La République dominicaine franchit un nouveau cap touristique avec 9,2 millions de visiteurs en 10 mois
La République dominicaine confirme son leadership régional dans l’industrie touristique. Entre janvier et octobre 2025, le pays a accueilli 9 283 767 visiteurs, dont 7,1 millions par voie aérienne et plus de 2,1 millions via les ports de croisière. Ces arrivées ont généré 15,562 milliards de dollars en valeur ajoutée dans l’économie, selon le ministère du Tourisme.
Le ministre David Collado a présenté ces résultats en soulignant « le voyage du touriste » à travers la chaîne de valeur, depuis l’hôtel jusqu’au commerce local. L’activité touristique soutient désormais 815 000 emplois directs et indirects, tout en assurant 5,47 milliards USD de revenus pour le secteur et près de 20 milliards de pesos en taxes.
Pour répondre à la demande croissante, 6 200 nouvelles chambres d’hôtel sont en construction, dont 4 200 déjà inaugurées cette année. Le parc hôtelier atteindra ainsi près de 93 000 chambres d’ici mi-2026.
Les États-Unis restent le principal marché émetteur (38 %), suivis de l’Argentine, la Colombie et le Pérou. Punta Cana concentre 60 % des arrivées aériennes, avec une hausse de 12 % en octobre.
Malgré une baisse ponctuelle du trafic de croisières causée par l’ouragan Melissa, le pays demeure en croissance par rapport à 2023 et largement au-dessus des niveaux prépandémiques. Pour Collado, ces résultats démontrent « une industrie qui impacte directement la dignité et le travail des Dominicains ».
Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont indiqués avec *
Prévenez-moi de tous les nouveaux commentaires par e-mail.
Prévenez-moi de tous les nouveaux articles par e-mail.
Ce site utilise Akismet pour réduire les indésirables. En savoir plus sur la façon dont les données de vos commentaires sont traitées .
Relations Publiques : Jean Kerby Gédéon Nicole Théodore
Conseiller économique : Dr Arnousse Beaulière
Conseillers juridiques : Dr Elco Sa",,,,WEB rezonodwes.com
2025-11-15,15:06:25,Haiti,Otros,"Les catastrophes climatiques ont coûté plus de 3 000 milliards de dollars à l’agriculture en 30 ans, selon la FAO - Rezo Nòdwès
https://rezonodwes.com/?p=369266

Les catastrophes climatiques ont coûté plus de 3 000 milliards de dollars à l’agriculture en 30 ans, selon la FAO
L’agriculture mondiale paie un lourd tribut à la multiplication des catastrophes naturelles. Selon un nouveau rapport de la FAO publié vendredi, sécheresses, inondations, ravageurs et tempêtes ont causé 3 260 milliards de dollars de pertes au secteur agricole entre 1991 et 2021, soit près de 100 milliards par an, l’équivalent de 4 % du PIB agricole mondial.
Jamais l’impact global de ces événements n’avait été chiffré avec autant de précision : 4,6 milliards de tonnes de céréales, 2,8 milliards de fruits et légumes et près de 900 millions de tonnes de viande et produits laitiers ont été perdus. L’Asie concentre 47 % des pertes, devant les Amériques (22 %) et l’Afrique, où les dégâts représentent 7,4 % du PIB agricole – une proportion record.
Face à cette hémorragie, la FAO mise sur la transition numérique pour anticiper les risques plutôt que réparer les dégâts. De nouveaux outils – surveillance climatique, systèmes d’alerte, cartographie des sols, applications de suivi des ravageurs ou assurances paramétriques – sont déjà déployés dans des dizaines de pays. Chaque dollar investi dans l’anticipation pourrait générer jusqu’à sept dollars de bénéfices.
Mais l’organisation prévient : sans accès à Internet, sans formation et sans politiques inclusives, « la révolution numérique » risque de creuser les inégalités. Pour la FAO, prévenir les catastrophes n’est plus une option, mais une condition de survie pour la sécurité alimentaire mondiale.
Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont indiqués avec *
Prévenez-moi de tous les nouveaux commentaires par e-mail.
Prévenez-moi de tous les nouveaux articles par e-mail.
Ce site utilise Akismet pour réduire les indésirables. En savoir plus sur la façon dont les données de vos commentaires sont traitées .
Relations Publiques : Jean Kerby Gédéon Nicole Théodore
Conseiller économique : Dr Arnous",,,,WEB rezonodwes.com
2025-11-15,15:16:18,Haiti,Otros,"Trump rompt avec Marjorie Taylor Greene, ex-alliée emblématique du mouvement MAGA - Rezo Nòdwès
https://rezonodwes.com/?p=369268

Trump rompt avec Marjorie Taylor Greene, ex-alliée emblématique du mouvement MAGA
La fracture entre Donald Trump et l’une de ses plus ferventes défenseures, Marjorie Taylor Greene, s’est consumée publiquement cette semaine. Le président américain a qualifié la représentante républicaine de Géorgie de « Marjorie la folle », promettant même de soutenir un adversaire lors des prochaines élections de mi-mandat si « la bonne personne se présente ».
Cette rupture met fin à des mois de tensions croissantes entre les deux figures du mouvement MAGA. Greene, connue pour ses positions ultraconservatrices, a récemment adouci son discours et multiplié les critiques envers les dirigeants républicains, notamment lors du blocage des services fédéraux. Elle s’est aussi prononcée en faveur d’un filet de sécurité pour les Américains perdant leur assurance maladie, un geste perçu par Trump comme un glissement « vers l’extrême gauche ».
La parlementaire accuse désormais le président de la calomnier et a rendu publics des échanges où elle l’interpellait sur la divulgation des documents liés à l’affaire Epstein, un sujet qui aurait, selon elle, « mis Trump en colère ».
Cherchant à élargir son audience, Greene multiplie les apparitions médiatiques, au point d’être jugée « méconnaissable » par certains commentateurs. Une stratégie qui pourrait annoncer une recomposition du paysage conservateur alors que les républicains tentent de se remettre de leurs revers électoraux récents.
Votre adresse e-mail ne sera pas publiée. Les champs obligatoires sont indiqués avec *
Prévenez-moi de tous les nouveaux commentaires par e-mail.
Prévenez-moi de tous les nouveaux articles par e-mail.
Ce site utilise Akismet pour réduire les indésirables. En savoir plus sur la façon dont les données de vos commentaires sont traitées .
Relations Publiques : Jean Kerby Gédéon Nicole Théodore
Conseiller économique : Dr Arnousse Beaulière
Conseillers juridiques : Dr Elco Saint-Amand Me Ronald D. Chouloute
Salle des nouve",,,,WEB rezonodwes.com
2025-11-15,15:37:46,Haiti,Otros,"iciHaïti - Foot : Victoire des Grenadiers, félicitations du P.M.
https://www.icihaiti.com/article-46212-icihaiti-foot-victoire-des-grenadiers-felicitations-du-pm.html",,,,@HaitiNewsExpress
