fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-12-01,07:03:54,Campello,Criminalidad,Noticias de Sucesos y Tribunales en INFORMACIÓN Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina El asesino de Miriam Vallejo sigue libre y el falso culpable reclama 127.000 euros de indemnización Mueren dos jóvenes de 17 y 21 años al chocar su coche contra un muro en Granada Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Amigos de las d...,,,,WEB https://www.informacion.es/sucesos/
2025-12-01,07:03:54,Campello,Criminalidad,Sucesos locales | Noticias de Sucesos locales - Información Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Detenido en Elda por estafar a extranjeros en situación irregular a los que ofrecía trabajo sin pagarles El CGPJ zanja el conflicto judicial en Alicante por los casos de violaciones a...,,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
2025-12-01,07:04:12,Campello,Disturbios Civiles,"Últimas Noticias de Comunidad Valenciana | Onda Cero Comunidad Valenciana Juanfran Pérez Llorca, presidente electo de la Generalitat Valenciana, presenta su renuncia como alcalde en Finestrat La manifestación con el lema 'Mazón a presó' convocada para este sábado modifica el recorrido El fin de semana arranca con tiempo estable, pero dejará chubascos y viento el domingo La jueza de la DANA descarta ""por el momento"" volver a citar a la periodista Vilaplana Muere en Monóvar un hombre de 46 años atropellado por su tractor Ha ocurrido hacia las 14:00 horas de este sábado Se han instalado tambié...",,,,WEB https://www.ondacero.es/emisoras/comunidad-valenciana/
2025-12-01,08:08:51,Campello,Criminalidad,"Noticias de Alicante Un juzgado de Alicante ha acordado dejar en libertad sin fianza a un joven de 26 años que estaba encarcelado desde el pasado septiembre como presunto autor de delitos de robo con violencia e intimidación, estafa y lesiones tras haber cometido dos atracos con un arma de fuego simulada a parejas que paseaban por los accesos peatonales al Castillo de Santa Bárbara en Alicante. Dos de las víctimas resultaron heridas.  [Enlace: https://ift.tt/QEx1vgj]",,,,@AlicanteDirectoNews
2025-12-01,09:05:54,Campello,Criminalidad,Noticias de Sucesos y Tribunales en INFORMACIÓN Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina El asesino de Miriam Vallejo sigue libre y el falso culpable reclama 127.000 euros de indemnización Mueren dos jóvenes de 17 y 21 años al chocar su coche contra un muro en Granada Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Amigos de las d...,,,,WEB https://www.informacion.es/sucesos/
2025-12-01,09:05:54,Campello,Criminalidad,Sucesos locales | Noticias de Sucesos locales - Información Detenido en Elda un hombre de 57 años por un robo con fuerza en un bar Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Detenido en Elda por estafar a extranjeros en situación irregular a los que ofrecía trabajo sin pagarles El CGPJ zanja el conflicto judicial en Alicante por los casos de violaciones a...,,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
2025-12-01,09:06:12,Campello,Disturbios Civiles,"Últimas Noticias de Comunidad Valenciana | Onda Cero Comunidad Valenciana Juanfran Pérez Llorca, presidente electo de la Generalitat Valenciana, presenta su renuncia como alcalde en Finestrat La manifestación con el lema 'Mazón a presó' convocada para este sábado modifica el recorrido El fin de semana arranca con tiempo estable, pero dejará chubascos y viento el domingo La jueza de la DANA descarta ""por el momento"" volver a citar a la periodista Vilaplana Noticias Comunitat Valenciana Matinal 01/12/2025 A las 07:20 Nacho Reig te informa de todo lo que sucede en la Comunitat Valenciana.",,,,WEB https://www.ondacero.es/emisoras/comunidad-valenciana/
2025-12-01,11:46:51,Campello,Criminalidad,https://www.informacion.es/elda/2025/12/01/detenido-elda-robo-bar-124290850.html?fbclid=IwZnRzaAOaKk5leHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEei8eM5igVk4AKnCpaxGIZS64ynh5LD7WmMFzwOPjCWMv9BchHG68jQeKEQpo_aem_naVIZ7DKrFqZrarx6ujTDw&utm_campaign=mrf-facebook-informacionelda&mrfcid=2025120169216d82a05f675fad986fc8  [Enlace: https://www.informacion.es/elda/2025/12/01/detenido-elda-robo-bar-124290850.html?fbclid=IwZnRzaAOaKk5leHRuA2FlbQIxMQBzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEei8eM5igVk4AKnCpaxGIZS64ynh5LD7WmMFzwOPjCWMv9BchHG68jQeKEQpo_aem_naVIZ7DKrFqZrarx6ujTDw&utm_campaign=mrf-facebook-informacionelda&mrfcid=2025120169216d82a05f675fad986fc8],,,,@alicanteprensapolicianacional
2025-12-01,11:46:55,Campello,Criminalidad,Noticias de Sucesos y Tribunales en INFORMACIÓN Un hombre mata presuntamente a su mujer y después se suicida en Madrid Detenido en Elda un hombre de 57 años por un robo con fuerza en un supermercado Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina El asesino de Miriam Vallejo sigue libre y el falso culpable reclama 127.000 euros de indemnización Mueren dos jóvenes de 17 y 21 años al chocar su coche contra un muro en Granada Herido un joven de 27 a...,,,,WEB https://www.informacion.es/sucesos/
2025-12-01,11:46:56,Campello,Criminalidad,Sucesos locales | Noticias de Sucesos locales - Información Detenido en Elda un hombre de 57 años por un robo con fuerza en un supermercado Libertad para un acusado de atracar a parejas junto al Castillo de Santa Bárbara en Alicante Roban casi medio millón en cremas en un tráiler en Alicante mientras el camionero dormía en la cabina Herido un joven de 27 años al ser atropellado cuando circulaba en patinete por Alicante Detenido en Elda por estafar a extranjeros en situación irregular a los que ofrecía trabajo sin pagarles El CGPJ zanja el conflicto judicial en Alicante por los casos de viol...,,,,WEB https://www.informacion.es/sucesos/sucesos-en-alicante/
