fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-12-02,07:05:32,Gaza,Terrorismo,"Después del bombardeo y la destrucción, la esperanza crece... buenos días desde los hijos de Sihila, al este de Khanyonis.",Bani Suheila,31.343,34.329,@yaseenpress2004
2025-12-02,07:17:03,Gaza,Terrorismo,El periódico Al-Quds Al-Jabayr informó y publicó sus artículos en el Foro Al-Quds: El ejército mató a la capital de la operación de atropello que tuvo lugar cerca de Hebrón y causó heridas a la recluta de Gaza entre el plan Trump y la ocupación: la fase de gran espera de que un soldado israelí resultase herido por una operación de atropello al sur de la Ribera Occidental y el ejército en busca de un terrorista israelí que estaba construyendo un nuevo puesto de avanzada en Al-Quds al noreste de Jerusalén.,Gaza City,31.520,34.450,WEB https://www.alquds.com/ar/home
2025-12-02,07:19:33,Gaza,Terrorismo,• Corresponsal de # Al-Jazeera: bombardeo de artillería israelí y fuego intenso de helicópteros israelíes dentro de la línea amarilla al este de la ciudad de Khan Yunis,Khan Younis,31.343,34.303,@AjaNews
2025-12-02,07:24:32,Gaza,Conflicto Armado,":: Disparos intensos desde la aviación de ocupación al este de la ciudad de Khanyonis, al sur de la Franja de Gaza.",Gaza City,31.520,34.450,@yaseenpress2004
2025-12-02,07:25:32,Gaza,Terrorismo,"El ejército de ocupación está llevando a cabo operaciones de bombardeo dentro de la línea amarilla en el barrio de Tuffah, al este de la ciudad de Gaza.",Gaza City,31.520,34.450,@GazaNewsNow
2025-12-02,07:25:32,Gaza,Conflicto Armado,El ejército del Sudán: No permitiremos que la situación humanitaria se utilice como tapadera para los movimientos militares que agravan la crisis humanitaria,,,,@AjaNews
2025-12-02,07:44:25,Gaza,Terrorismo,El ejército israelí está entrando en la ciudad de Hebrón y cerrando sus puertas con los medios de comunicación hebreos: el ejército mató al director de la operación de atropello que tuvo lugar cerca de Hebrón y causó heridas a la recluta de Gaza entre el plan de Trump y las realidades de la ocupación: la fase de gran espera en la que un soldado israelí resultó herido por una operación de atropello al sur de la Ribera Occidental y el ejército en busca de un terrorista israelí que estaba buscando un nuevo puesto de avanzada al noreste de Jerusalén.,Gaza City,31.520,34.450,WEB https://www.alquds.com/ar/home
2025-12-02,07:46:32,Gaza,Conflicto Armado,"* Continuación del canal 12 hebreo: disparos contra un palestino que apuñalaba a una soldado cerca del asentamiento de Atiret, al norte de la Ribera Occidental.",,,,@GazaNewsNow
2025-12-02,07:51:32,Gaza,Conflicto Armado,El ejército de ocupación está empujando nuevos refuerzos militares hacia la ciudad de Tubas.,,,,@yaseenpress2004 | @GazaNewsNow
2025-12-02,07:57:32,Gaza,Criminalidad,"Urgente Israel Hume: Dos israelíes resultaron heridos como consecuencia de una apuñalamiento en Aitrat, en el distrito de Ramallah, y el asesinato de Al-Iqqar",,,,@AjaNews
