fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-11-26,08:16:49,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard se encuentra con la Directora General Adjunta de la ONUDI MJSAC y LJSAC y IJOIM lanzan una semana de solidaridad en favor de los jóvenes desplazados Marijàn alerta sobre la explosión de la violencia contra las mujeres en Haití Cité Soleil: Cuando la lucha contra la malnutrición desnutrición invita al paso de puerta Cuando Berthony Raphaël narra su trayectoria junto a Dadou Pasquet Los funcionarios haitianos sancionados por los Estados Unidos desde 2022 El consejero presidencial Frit...",Cité Soleil,18.606,-72.353,WEB https://lenouvelliste.com/
2025-11-26,08:17:09,Haiti,Criminalidad,El asesinato del Presidente Jovenel Moïse en 2021 agravó la crisis constitucional de Haití.,Mirebalais Hospital,18.834,-72.104,WEB https://www.hrw.org/americas/haiti
2025-11-26,08:18:05,Haiti,Conflicto Armado,"Home INVESTIGATION AND ANALYSIS OF ORGANIZED CRIME The Pros and Cons of a US Intervention in Venezuela The world has been watching to see if the United States will escalate its militarized anti-drug mission in the Caribbean into a direct intervention aimed at toppling the regime of Venezuela’s President Nicolás Maduro, prompting intense debate about the wisdom and potential impacts of such an action.",,,,WEB https://insightcrime.org
2025-11-26,08:18:05,Haiti,Disturbios Civiles,ACLED ACLED es un monitor de conflictos independiente e imparcial que proporciona datos y análisis en tiempo real sobre conflictos violentos y protestas en todos los países y territorios del mundo.,,,,WEB https://acleddata.com
2025-11-26,08:18:08,Haiti,Conflicto Armado,"Safe Airspace - Conflict Zone & Risk Database La base de datos Conflict Zone & Risk Database proporciona un recurso único, independiente y eternamente libre para todas las advertencias de riesgo del espacio aéreo, de modo que las aerolíneas y los operadores de aeronaves puedan ver fácilmente la imagen de riesgo actual para el espacio aéreo desconocido. Safe Airspace es una iniciativa de OPSGROUP , una organización independiente de miembros con 7000 miembros, compuesta por aerolíneas, departamentos de vuelos corporativos, operadores privados, operadores charter, militares y gubernamentales.",,,,WEB https://safeairspace.net
2025-11-26,08:38:13,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard se encuentra con la Directora General Adjunta de la ONUDI MJSAC y LJSAC 20OIM lanzan una semana de solidaridad en favor de los jóvenes desplazados Marijàn alerta sobre la explosión de la violencia contra las mujeres en Haití El consejero presidencial Fritz Alphonse Jean sancionado por los Estados Unidos Fritz Alphonse Jean, rechaza las acusaciones estadounidenses y denuncia presiones diplomáticas Cuando Berthony Raphaël relata su trayectoria junto a Dadou Pasquet Los funcionarios ha...",Port-au-Prince,18.539,-72.336,WEB https://lenouvelliste.com/
2025-11-26,08:52:24,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard se encuentra con la Directora General Adjunta de la ONUDI El MJSAC y LJSAC y LJSACOIM lanzan una semana de solidaridad en favor de los jóvenes desplazados Mariján alerta sobre la explosión de la violencia contra las mujeres en Haití El consejero presidencial Fritz Alphonse Jean sancionado por los Estados Unidos Fritz Alphonse Jean rechaza las acusaciones estadounidenses y denuncia las presiones diplomáticas Cité Soleil: Cuando la lucha contra la malnutrición shöl invita al paso de p...",Cité Soleil,18.606,-72.353,WEB https://lenouvelliste.com/
2025-11-26,08:56:25,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard se encuentra con la Directora General Adjunta de la ONUDI El MJSAC y la JSAC han lanzado una semana de solidaridad en favor de los jóvenes desplazados de Mariján alerta sobre la explosión de la violencia contra las mujeres en Haití Fritz Alphonse Jean rechaza las acusaciones estadounidenses y denuncia de las presiones diplomáticas Estatuto fiscal de los inmuebles situados en una zona de no-derecho Ciudad Sol: Cuando la lucha contra la malnutrición desnutrición desvió a un paso de pu...",Port-au-Prince,18.539,-72.336,WEB https://lenouvelliste.com/
2025-11-26,09:08:17,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard entrevista a la Directora General Adjunta de la ONUDI MJSAC y LJSAC Una semana de solidaridad en favor de los jóvenes desplazados Marijàn alerta sobre la explosión de la violencia contra las mujeres en Haití Estatuto fiscal de los inmuebles situados en una zona de no ley Ciudad Sol: Cuando la lucha contra la malnutrición sin invitación invita al paso de puerta El consejero presidencial Fritz Alphonse Jean sancionado por los Estados Unidos Los funcionarios haitianos sancionados por l...",Port-au-Prince,18.539,-72.336,WEB https://lenouvelliste.com/
2025-11-26,09:13:10,Haiti,Terrorismo,"Desde 1898, la información en el diario Andy Apaid y Charles Henry Baker auditados por el BLTS James Monazard se encuentra con la Directora General Adjunta de la ONUDI El MJSAC y LJSAC Una semana de solidaridad en favor de los jóvenes desplazados Mariján alerta sobre la explosión de la violencia contra las mujeres en Haití Estatuto fiscal de los inmuebles situados en una zona de no ley Los funcionarios haitianos sancionados por los Estados Unidos desde 2022 El Consejero Presidencial Fritz Alphonse Jean sancionado por los Estados Unidos Cuando Berthony Raphaël relata su trayectoria junto a D...",Port-au-Prince,18.539,-72.336,WEB https://lenouvelliste.com/
