fecha,hora,pais,categoria_sicu,descripcion,localizacion,lat,lon,fuente_URL
2025-11-27,11:10:40,Libia,Conflicto Armado,"El equipo de expertos de Libia El equipo de expertos de Libia El equipo nacional de fútbol de Palestina ha asegurado un lugar en la Copa Árabe 2025 en Qatar después de derrotar a Libia 4-3 en un tiroteo penal, después de un empate de 0-0 en el Consejo Presidencial regular Abdullah Al-Lafi se reunió el martes con Mohammed Takala, jefe del Consejo Superior de Estado, para discutir sobre política, economía y seguridad actuales, el Ministerio de Trabajo y Rehabilitación del Comité Asesor para Asuntos Laborales, ha revisado los esfuerzos en curso para regular el estado de los trabajadores nacion...",Tripoli,32.887,13.191,WEB https://libyaobserver.ly/
2025-11-27,11:10:52,Libia,Conflicto Armado,"El Consejo de Seguridad prorroga la orden de registro de buques frente a Libia, con la participación de Washington y capitales regionales. Diez Estados declaran apoyo a la hoja de ruta de las Naciones Unidas e invitan a nueve Estados del Consejo de Seguridad a que unifiquen a las instituciones militares y económicas que acogen con beneplácito la entrega inminente de “Khalid al-Hishri”, el Ministro de Comunicaciones, que examina la cuestión de los archivos de los servicios y la aceleración de los proyectos de desarrollo de Al-Nusra, con la participación de Rusia y China.",Tripoli,32.887,13.191,WEB https://libyaalahrar.tv/
2025-11-27,11:10:58,Libia,Conflicto Armado,Plataforma libia: seguridad y militar. Comuníquese con nosotros por correo electrónico@almenassa.ly,,,,WEB https://almenassa.ly/%D8%A7%D9%84%D8%AA%D8%B5%D9%86%D9%8A%D9%81%D8%A7%D8%AA/%d8%a3%d9%85%d9%86%d9%8a-%d9%88%d8%b9%d8%b3%d9%83%d8%b1%d9%8a/
2025-11-27,11:13:47,Libia,Disturbios Civiles,"- El pueblo libio es la fuente de la legitimidad y el autor de la primera y última decisión, e invitamos a todos los ciudadanos a participar en una manifestación pacífica en todos los campos y áreas el próximo viernes para expresar sus reivindicaciones legítimas. - Exigimos que el Congreso asuma sus responsabilidades históricas y comience de inmediato a completar el proceso electoral.",,,,@libyapress
2025-11-27,11:13:48,Libia,Criminalidad,"En el Día Mundial contra la Violencia contra las Mujeres, las Naciones Unidas revelan números impactantes de asesinatos de mujeres en todo el mundo, conocidos como ""0"" en su mayor parte.",,,,@sefr0ly
2025-11-27,11:13:48,Libia,Hazards,"El Centro de Meteorología ha confirmado que en los próximos tres días, a partir del jueves 27 de noviembre de 2025, el país experimentará fluctuaciones meteorológicas especialmente marcadas en las regiones noroccidentales, en las que se prevé que se verán afectadas por una tormenta de vientos activos y una proliferación de nubes, con la posibilidad de que se produzcan lluvias eléctricas en algunas zonas costeras. En su boletín del jueves, el Centro indicó que el clima en las zonas de Ras Ajdar hasta Sirte, la llanura de Jaffra y la montaña de Nafusa se multiplicará gradualmente, con la posi...",Tripoli International Airport,32.676,13.157,@gplusss
2025-11-27,11:13:48,Libia,Hazards,"La revista dijo que los equipos de bomberos y la población local habían estado trabajando desde las primeras horas para controlar el fuego y limitar su propagación, sin que se registraran víctimas humanas. La revista T indicó que el programa de Fortune y las autoridades competentes estaban siguiendo constantemente la evolución de la situación, al tiempo que seguían dando instrucciones a los ciudadanos para que se mantuvieran vigilantes y se alejaran de los lugares de incendio a fin de mantener su seguridad.",,,,@gplusss
2025-11-27,11:24:32,Libia,Conflicto Armado,"Acogemos con beneplácito los esfuerzos de integración de las fuerzas de seguridad de Libia occidental y oriental e instamos a los dirigentes libios a que adopten nuevas medidas para ampliar la coordinación y la institucionalización del proceso de unificación de las fuerzas militares en el este y el oeste de Qatar y en los Emiratos Árabes Unidos, Turquía y Egipto. Pedimos que se adopten medidas para fortalecer las instituciones económicas, en particular la Fundación del Petróleo, la Fundación Central y la Oficina de Contabilidad.",,,,@sefr0ly
2025-11-27,14:59:56,Libia,Conflicto Armado,"El observador de Libia El observador de Libia El equipo nacional de fútbol palestino ha asegurado un lugar en la Copa Árabe 2025 en Qatar después de derrotar a Libia 4-3 en un tiroteo penal, después de un empate de 0-0 en el Consejo Presidencial regular Abdullah Al-Lafi se reunió el martes con Mohammed Takala, jefe del Consejo Superior de Estado, para discutir los preparativos para las próximas elecciones municipales, económicos y de seguridad.",Tripoli,32.887,13.191,WEB https://libyaobserver.ly/
2025-11-27,15:00:17,Libia,Conflicto Armado,"El Consejo de Seguridad prorroga la orden de registro de buques frente a Libia, con la participación de Washington y capitales regionales. Diez Estados declaran apoyo a la hoja de ruta de las Naciones Unidas e invitan a nueve Estados del Consejo de Seguridad a que unifiquen a las instituciones militares y económicas que acogen con beneplácito la entrega inminente de “Khalid al-Hishri”, el Ministro de Comunicaciones, que examina la cuestión de los archivos de los servicios y la aceleración de los proyectos de desarrollo de Al-Nusra, con la participación de Rusia y China.",Tripoli,32.887,13.191,WEB https://libyaalahrar.tv/
